miRNA,freq,picked_by
hsa-mir-5582,1,GMM
hsa-mir-5586,1,GMM
hsa-mir-5589,1,GMM
hsa-mir-559,1,GMM
hsa-mir-5682,1,GMM
hsa-mir-5684,1,GMM
hsa-mir-5687,1,GMM
hsa-mir-5690,1,GMM
hsa-mir-5695,1,GMM
hsa-mir-5696,1,GMM
hsa-mir-5699,1,GMM
hsa-mir-570,1,GMM
hsa-mir-5702,1,GMM
hsa-mir-572,1,GMM
hsa-mir-573,1,GMM
hsa-mir-574,1,GMM
hsa-mir-576,1,GMM
hsa-mir-577,1,GMM
hsa-mir-579,1,GMM
hsa-mir-580,1,GMM
hsa-mir-581,1,GMM
hsa-mir-582,1,GMM
hsa-mir-584,1,GMM
hsa-mir-587,1,GMM
hsa-mir-588,1,GMM
hsa-mir-589,1,GMM
hsa-mir-590,1,GMM
hsa-mir-592,1,GMM
hsa-mir-593,1,GMM
hsa-mir-597,1,GMM
hsa-mir-602,1,GMM
hsa-mir-603,1,GMM
hsa-mir-6081,1,GMM
hsa-mir-6084,1,GMM
hsa-mir-6088,1,GMM
hsa-mir-610,1,GMM
hsa-mir-6129,1,GMM
hsa-mir-615,1,GMM
hsa-mir-616,1,GMM
hsa-mir-624,1,GMM
hsa-mir-625,1,GMM
hsa-mir-627,1,GMM
hsa-mir-628,1,GMM
hsa-mir-629,1,GMM
hsa-mir-631,1,GMM
hsa-mir-632,1,GMM
hsa-mir-636,1,GMM
hsa-mir-639,1,GMM
hsa-mir-641,1,GMM
hsa-mir-642a,1,GMM
hsa-mir-643,1,GMM
hsa-mir-6499,1,GMM
hsa-mir-650,1,GMM
hsa-mir-6501,1,GMM
hsa-mir-6505,1,GMM
hsa-mir-651,1,GMM
hsa-mir-6511b-1,1,GMM
hsa-mir-6511b-2,1,GMM
hsa-mir-6514,1,GMM
hsa-mir-6515,1,GMM
hsa-mir-6516,1,GMM
hsa-mir-652,1,GMM
hsa-mir-658,1,GMM
hsa-mir-659,1,GMM
hsa-mir-662,1,GMM
hsa-mir-671,1,GMM
hsa-mir-6718,1,GMM
hsa-mir-6720,1,GMM
hsa-mir-6726,1,GMM
hsa-mir-6728,1,GMM
hsa-mir-6729,1,GMM
hsa-mir-6731,1,GMM
hsa-mir-6732,1,GMM
hsa-mir-6733,1,GMM
hsa-mir-6734,1,GMM
hsa-mir-6736,1,GMM
hsa-mir-6737,1,GMM
hsa-mir-6738,1,GMM
hsa-mir-6739,1,GMM
hsa-mir-6742,1,GMM
hsa-mir-6744,1,GMM
hsa-mir-6747,1,GMM
hsa-mir-6748,1,GMM
hsa-mir-6750,1,GMM
hsa-mir-6754,1,GMM
hsa-mir-6755,1,GMM
hsa-mir-6758,1,GMM
hsa-mir-6761,1,GMM
hsa-mir-6764,1,GMM
hsa-mir-6769a,1,GMM
hsa-mir-6769b,1,GMM
hsa-mir-6771,1,GMM
hsa-mir-6772,1,GMM
hsa-mir-6773,1,GMM
hsa-mir-6774,1,GMM
hsa-mir-6775,1,GMM
hsa-mir-6776,1,GMM
hsa-mir-6777,1,GMM
hsa-mir-6779,1,GMM
hsa-mir-6780b,1,GMM
hsa-mir-6781,1,GMM
hsa-mir-6782,1,GMM
hsa-mir-6783,1,GMM
hsa-mir-6786,1,GMM
hsa-mir-6789,1,GMM
hsa-mir-6791,1,GMM
hsa-mir-6792,1,GMM
hsa-mir-6793,1,GMM
hsa-mir-6794,1,GMM
hsa-mir-6795,1,GMM
hsa-mir-6796,1,GMM
hsa-mir-6797,1,GMM
hsa-mir-6798,1,GMM
hsa-mir-6800,1,GMM
hsa-mir-6801,1,GMM
hsa-mir-6802,1,GMM
hsa-mir-6803,1,GMM
hsa-mir-6804,1,GMM
hsa-mir-6807,1,GMM
