miRNA,mean_expression
hsa-mir-5684,0.7645258494623656
hsa-mir-6509,0.7541520931899641
hsa-mir-3926-1,0.7516478279569893
hsa-mir-380,0.750210458781362
hsa-mir-3662,0.7328136845878136
hsa-mir-4787,0.7203411182795699
hsa-mir-551a,0.7201678960573477
hsa-mir-4444-2,0.7147295053763442
hsa-mir-6755,0.7141324372759857
hsa-mir-1262,0.7113802867383513
hsa-mir-3609,0.7112026845878135
hsa-mir-3136,0.7038771612903226
hsa-mir-4491,0.70356288172043
hsa-mir-545,0.6973182652329749
hsa-mir-3690-1,0.6952683799283155
hsa-mir-3678,0.694844376344086
hsa-mir-2116,0.682221422939068
hsa-mir-4999,0.6782877741935484
hsa-mir-4449,0.6741231182795699
hsa-mir-3922,0.6663703225806451
hsa-mir-4786,0.6642018566308244
hsa-mir-18b,0.6557352437275985
hsa-mir-320c-1,0.6551482795698924
hsa-mir-138-2,0.6544348315412186
hsa-mir-5010,0.6490887419354838
hsa-mir-4652,0.6480124659498208
hsa-mir-585,0.6457283154121863
hsa-mir-4473,0.640063394265233
hsa-mir-570,0.6152339784946236
hsa-mir-137,0.611404240143369
hsa-mir-1292,0.6043660071684588
hsa-mir-3117,0.5990691003584229
hsa-mir-376a-2,0.5953662365591397
hsa-mir-3619,0.5949194695340502
hsa-mir-639,0.5801587491039426
hsa-mir-320d-1,0.5786260931899643
hsa-mir-4446,0.5724874408602151
hsa-mir-1288,0.571108781362007
hsa-mir-449c,0.5683688673835124
hsa-mir-665,0.5652824229390682
hsa-mir-548e,0.5617923369175628
hsa-mir-506,0.5617036738351254
hsa-mir-372,0.5609836666666667
hsa-mir-581,0.5581179569892473
hsa-mir-520a,0.5556501254480287
hsa-mir-216a,0.5498403046594982
hsa-mir-4766,0.5479234982078853
hsa-mir-6802,0.5466711397849462
hsa-mir-548s,0.5448056451612903
hsa-mir-1254-2,0.5437690681003584
hsa-mir-3173,0.5422591039426523
hsa-mir-6777,0.5407447885304659
hsa-mir-605,0.540066724014337
hsa-mir-6820,0.5398342329749103
hsa-mir-3129,0.5270735304659498
hsa-mir-5001,0.5263599677419355
hsa-mir-1255a,0.5029163835125448
hsa-mir-320d-2,0.4858215268817204
hsa-mir-4660,0.4817355197132617
hsa-mir-4444-1,0.47452864874551964
hsa-mir-6503,0.4699673154121864
hsa-mir-6733,0.4673825089605735
hsa-mir-1295b,0.463591146953405
hsa-mir-4784,0.460228523297491
hsa-mir-6516,0.4486542867383513
hsa-mir-1254-1,0.4481560752688172
hsa-mir-329-1,0.44503833333333337
hsa-mir-3064,0.4441777956989247
hsa-mir-580,0.44028729749103945
hsa-mir-3909,0.44002340860215056
hsa-mir-5695,0.43295311111111107
hsa-mir-329-2,0.4326555448028674
hsa-mir-6808,0.4316062150537634
hsa-mir-5003,0.43061218996415773
hsa-mir-5187,0.4292320358422939
hsa-mir-4791,0.4284290896057348
hsa-mir-4665,0.4269287921146953
