Stage,Family,k,Consensus,Classifier,n_feats,missing,Accuracy,Sensitivity,Specificity,AUC,SourceFile,Status
Stage III,DeepLearning,top15,majority,RF,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_III_majority.csv,empty_list
Stage III,DeepLearning,top5,intersection,RF,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_III_intersection.csv,empty_list
Stage III,DeepLearning,top5,majority,RF,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_III_majority.csv,empty_list
Stage III,Traditional,top10,intersection,RF,0,,,,,,stagewise_consensus\Consensus_Traditional_top10_Stage_III_intersection.csv,empty_list
Stage III,Traditional,top10,majority,RF,7,0.0,0.586,0.208,0.812,0.578,stagewise_consensus\Consensus_Traditional_top10_Stage_III_majority.csv,ok
Stage III,Traditional,top15,intersection,RF,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_III_intersection.csv,empty_list
Stage III,Traditional,top15,majority,RF,9,0.0,0.594,0.25,0.8,0.544,stagewise_consensus\Consensus_Traditional_top15_Stage_III_majority.csv,ok
Stage III,Traditional,top5,intersection,RF,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_III_intersection.csv,empty_list
Stage III,Traditional,top5,majority,RF,2,0.0,0.539,0.083,0.812,0.47,stagewise_consensus\Consensus_Traditional_top5_Stage_III_majority.csv,ok
Stage III,Clustering,,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Clustering_Stage_III_intersection.csv,empty_list
Stage III,Clustering,,majority,SVM-linear,600,0.0,0.508,0.354,0.6,0.496,stagewise_consensus\Consensus_Clustering_Stage_III_majority.csv,ok
Stage III,DeepLearning,top10,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_III_intersection.csv,empty_list
Stage III,DeepLearning,top10,majority,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_III_majority.csv,empty_list
Stage III,DeepLearning,top15,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_III_intersection.csv,empty_list
Stage III,DeepLearning,top15,majority,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_III_majority.csv,empty_list
Stage III,DeepLearning,top5,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_III_intersection.csv,empty_list
Stage III,DeepLearning,top5,majority,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_III_majority.csv,empty_list
Stage III,Traditional,top10,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Traditional_top10_Stage_III_intersection.csv,empty_list
Stage III,Traditional,top10,majority,SVM-linear,7,0.0,0.492,0.208,0.662,0.459,stagewise_consensus\Consensus_Traditional_top10_Stage_III_majority.csv,ok
Stage III,Traditional,top15,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_III_intersection.csv,empty_list
Stage III,Traditional,top15,majority,SVM-linear,9,0.0,0.484,0.229,0.638,0.453,stagewise_consensus\Consensus_Traditional_top15_Stage_III_majority.csv,ok
Stage III,Traditional,top5,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_III_intersection.csv,empty_list
Stage III,Traditional,top5,majority,SVM-linear,2,0.0,0.547,0.167,0.775,0.453,stagewise_consensus\Consensus_Traditional_top5_Stage_III_majority.csv,ok
Stage IV,Clustering,,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Clustering_Stage_IV_intersection.csv,empty_list
Stage IV,Clustering,,majority,KNN,89,0.0,0.943,0.0,0.996,0.451,stagewise_consensus\Consensus_Clustering_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,DeepLearning,top10,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_IV_intersection.csv,empty_list
Stage IV,DeepLearning,top10,majority,KNN,1,0.0,0.936,0.067,0.985,0.354,stagewise_consensus\Consensus_DeepLearning_top10_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,DeepLearning,top15,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_IV_intersection.csv,empty_list
Stage IV,DeepLearning,top15,majority,KNN,1,0.0,0.936,0.067,0.985,0.354,stagewise_consensus\Consensus_DeepLearning_top15_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,DeepLearning,top5,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_IV_intersection.csv,empty_list
Stage IV,DeepLearning,top5,majority,KNN,1,0.0,0.936,0.067,0.985,0.354,stagewise_consensus\Consensus_DeepLearning_top5_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Traditional,top10,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Traditional_top10_Stage_IV_intersection.csv,empty_list
Stage IV,Traditional,top10,majority,KNN,6,0.0,0.95,0.067,1.0,0.622,stagewise_consensus\Consensus_Traditional_top10_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Traditional,top15,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_IV_intersection.csv,empty_list
Stage IV,Traditional,top15,majority,KNN,6,0.0,0.95,0.067,1.0,0.622,stagewise_consensus\Consensus_Traditional_top15_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Traditional,top5,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_IV_intersection.csv,empty_list
Stage IV,Traditional,top5,majority,KNN,3,0.0,0.95,0.067,1.0,0.537,stagewise_consensus\Consensus_Traditional_top5_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,Clustering,,intersection,LR,0,,,,,,stagewise_consensus\Consensus_Clustering_Stage_IV_intersection.csv,empty_list
Stage IV,Clustering,,majority,LR,89,0.0,0.804,0.267,0.834,0.514,stagewise_consensus\Consensus_Clustering_Stage_IV_majority.csv,ok_cv5_low_n
Stage IV,DeepLearning,top10,intersection,LR,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_IV_intersection.csv,empty_list
Stage IV,DeepLearning,top10,majority,LR,1,0.0,0.821,0.4,0.845,0.629,stagewise_consensus\Consensus_DeepLearning_top10_Stage_IV_majority.csv,ok_cv5_low_n
